,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,435,543","+19,244","756,017","+1,094","23,072,460","+10,891","9,607,066","22,014",,,,,,North America,,,,,
,,,Asia,,"24,919,497","+54,264","397,386",+676,"23,430,592","+46,427","1,091,519","21,831",,,,,,Asia,,,,,
,,,South America,,"17,856,132","+5,558","463,826",+108,"16,154,042","+4,873","1,238,264","18,862",,,,,,South America,,,,,
,,,Europe,,"33,996,853","+111,891","811,002","+2,137","23,519,347","+73,756","9,666,504","25,343",,,,,,Europe,,,,,
,,,Africa,,"3,910,310","+2,942","103,362",+59,"3,468,969","+3,375","337,979","2,552",,,,,,Africa,,,,,
,,,Oceania,,"51,105",+8,"1,088",,"34,272",+4,"15,745",6,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"114,170,161","+193,907","2,532,696","+4,074","89,680,388","+139,326","21,957,077","90,608","14,647",324.9,,,,All,,,,,
,72,Paraguay,"157,603",,"3,152 ",,"131,461",,"22,990",255,"21,920",438,"744,258","103,514","7,189,916 ",South America,"462,28110",
,73,Nigeria,"155,076",,"1,902 ",,"132,544",,"20,630",10,740,9,"1,489,103","7,109","209,462,655 ",Africa,"1,351110,128141",
,74,Myanmar,"141,890",+15,"3,199  ",+1,"131,454",+19,"7,237",,"2,596",59,"2,489,884","45,561","54,649,361 ",Asia,"38517,08322",
,75,Oman,"140,588",,"1,562 ",,"131,684",,"7,342",68,"27,083",301,"1,550,000","298,590","5,191,067 ",Asia,"373,3233",
,76,Venezuela,"138,295",,"1,338 ",,"130,379",,"6,578",117,"4,872",47,"2,844,236","100,210","28,382,787 ",South America,"20521,21310",
,77,Libya,"132,458",,"2,174 ",,"119,492",,"10,792",,"19,107",314,"721,544","104,082","6,932,442 ",Africa,"523,18910",
,78,Bosnia and Herzegovina,"130,979",,"5,071 ",,"115,847",,"10,061",,"40,087","1,552","661,206","202,369","3,267,336 ",Europe,256445,
,79,Bahrain,"121,127",,444 ,+2,"113,799",,"6,884",71,"69,620",255,"3,064,160","1,761,190","1,739,824 ",Asia,"143,9191",
,80,Algeria,"112,805",,"2,977 ",,"77,842",,"31,986",21,"2,542",67,,,"44,368,007 ",Africa,"39314,904",
,81,Kenya,"105,467",,"1,853 ",,"86,521",,"17,093",61,"1,934",34,"1,289,979","23,651","54,542,863 ",Africa,"51729,43542",
,82,Albania,"105,229",,"1,756 ",,"68,007",,"35,466",46,"36,592",611,"454,624","158,090","2,875,726 ",Europe,"271,6386",
,83,North Macedonia,"102,482",+720,"3,126 ",+7,"91,066",+171,"8,290",124,"49,192","1,500","519,985","249,595","2,083,318 ",Europe,206664,
,84,S. Korea,"89,321",+415,"1,595 ",+10,"80,333",+453,"7,393",142,"1,741",31,"6,627,215","129,190","51,298,245 ",Asia,"57432,1628",
,85,Kyrgyzstan,"86,185",+43,"1,463 ",,"83,127",+66,"1,595",29,"13,069",222,"740,924","112,354","6,594,529 ",Asia,"774,5089",
,86,Latvia,"85,810",+827,"1,614 ",+13,"74,839",+761,"9,357",74,"45,829",862,"1,495,609","798,770","1,872,391 ",Europe,"221,1601",
,87,Sri Lanka,"82,890",+460,464 ,,"78,373",+748,"4,053",,"3,860",22,"2,030,702","94,573","21,472,289 ",Asia,"25946,27611",
,88,Ghana,"82,586",,594 ,,"76,573",,"5,419",150,"2,622",19,"889,632","28,246","31,495,736 ",Africa,"38153,02335",
,89,Uzbekistan,"79,836",+32,622 ,,"78,373",+40,841,28,"2,363",18,"1,377,915","40,783","33,786,497 ",Asia,"42354,31925",
,90,Zambia,"78,202",+563,"1,081 ",+15,"73,609",+974,"3,512",263,"4,178",58,"1,083,026","57,859","18,718,208 ",Africa,"23917,31617",
,91,Montenegro,"75,332",+543,999 ,+5,"65,780",+529,"8,553",68,"119,933","1,590","279,331","444,711","628,118 ",Europe,86292,
,92,Norway,"70,650",+86,622 ,,"63,783",,"6,245",18,"12,966",114,"3,825,778","702,098","5,449,067 ",Europe,"778,7611",
,93,Estonia,"64,399","+1,570",584 ,+9,"49,709","+1,218","14,106",41,"48,525",440,"928,459","699,603","1,327,123 ",Europe,"212,2721",
,94,Singapore,"59,925",+12,29 ,,"59,816",+13,80,1,"10,190",5,"7,290,760","1,239,811","5,880,543 ",Asia,"98202,7771",
,95,El Salvador,"59,866",,"1,847 ",+6,"55,312",,"2,707",43,"9,199",284,"761,858","117,070","6,507,717 ",North America,"1093,5239",
,96,Mozambique,"58,772",+554,630 ,+17,"40,761",+955,"17,381",,"1,847",20,"420,600","13,216","31,823,930 ",Africa,"54150,51476",
,97,Finland,"57,052",+645,742 ,,"46,000","+6,000","10,310",38,"10,286",134,"3,314,197","597,542","5,546,387 ",Europe,"977,4752",
,98,Uruguay,"56,542",,601 ,,"49,012",,"6,929",67,"16,240",173,"1,005,801","288,886","3,481,649 ",South America,"625,7933",
,99,Afghanistan,"55,707",,"2,443 ",,"49,285",,"3,979","1,064","1,410",62,"295,155","7,472","39,499,296 ",Asia,"70916,168134",
,100,Luxembourg,"55,313",+203,637 ,,"51,487",,"3,189",19,"87,433","1,007","2,114,911","3,343,030","632,633 ",Europe,119930,
,101,Cuba,"49,161",+720,318 ,+4,"44,566",+831,"4,277",59,"4,342",28,"2,374,019","209,681","11,322,060 ",North America,"23035,6045",
,102,Uganda,"40,335",+13,334 ,,"14,616",,"25,385",,864,7,"879,037","18,832","46,676,895 ",Africa,"1,157139,75153",
,103,Namibia,"38,642",+218,420 ,+2,"36,220",+226,"2,002",21,"15,030",163,"301,479","117,264","2,570,946 ",Africa,"676,1219",
,104,Zimbabwe,"36,044",,"1,463 ",,"32,539",,"2,042",41,"2,402",98,"337,312","22,481","15,004,449 ",Africa,"41610,25644",
,105,Cameroon,"35,714",,551 ,,"32,594",,"2,569",53,"1,324",20,"149,000","5,524","26,975,619 ",Africa,"75548,958181",
,106,Senegal,"34,255",+224,866 ,+8,"28,611",+234,"4,778",50,"2,011",51,"386,644","22,703","17,030,657 ",Africa,"49719,66644",
,107,Cyprus,"34,181",,231 ,,"2,057",,"31,893",17,"28,176",190,"1,888,026","1,556,326","1,213,130 ",Asia,"355,2521",
,108,Ivory Coast,"32,478",,190 ,,"31,431",,857,,"1,212",7,"417,474","15,576","26,803,128 ",Africa,"825141,06964",
,109,Malawi,"31,675",,"1,037 ",,"18,183",,"12,455",4,"1,628",53,"195,119","10,031","19,451,272 ",Africa,"61418,757100",
,110,Australia,"28,965",+7,909 ,,"26,166",+2,"1,890",,"1,127",35,"14,320,140","557,340","25,693,717 ",Australia/Oceania,"88728,2662",
,111,Botswana,"28,371",,310 ,,"23,244",,"4,817",1,"11,908",130,"805,587","338,114","2,382,590 ",Africa,"847,6863",
,112,Sudan,"28,303",,"1,878 ",,"22,863",,"3,562",,636,42,,,"44,515,697 ",Africa,"1,57323,704",
,113,Thailand,"25,881",+72,83 ,,"25,022",+70,776,1,370,1,"1,217,873","17,419","69,915,243 ",Asia,"2,701842,35257",
,114,DRC,"25,792",+101,707 ,,"18,951",+665,"6,134",,282,8,,,"91,326,674 ",Africa,"3,541129,175",
,115,Jamaica,"22,817",+346,417 ,+4,"13,318",+87,"9,082",20,"7,683",140,"205,746","69,283","2,969,665 ",North America,"1307,12114",
,116,Malta,"22,219",+237,313 ,,"19,255",+168,"2,651",18,"50,233",708,"695,192","1,571,705","442,317 ",Europe,"201,4131",
,117,Angola,"20,759",,504 ,,"19,307",,948,11,619,15,"188,630","5,626","33,528,819 ",Africa,"1,61566,525178",
,118,Madagascar,"19,831",,297 ,,"19,296",,238,23,704,11,"119,608","4,248","28,153,787 ",Africa,"1,42094,794235",
,119,Maldives,"19,479",,61 ,+1,"17,002",,"2,416",162,"35,626",112,"514,619","941,214","546,761 ",Asia,"288,9631",
